model,fold,smape,mae,rmse,mase
ETS,0,12.407185717434876,6.588204263595139,8.099867179587065,0.8784796444734785
ETS,1,22.262046550538443,11.645717672368173,13.308497395920995,1.5068622438281176
ETS,2,16.1626630915969,7.242377362744733,8.775995681581682,0.9424423351516703
ETS,3,16.30296536397337,6.854883776551204,8.291804369290096,0.8818541736171932
ETS,4,17.71020535720397,7.5691965577310825,9.166926197229033,0.9721805981510278
ETS,5,34.508314821259496,14.237488793187937,15.672623074343774,1.7499970877266808
LightGBM,0,12.4685730998621,6.5676019201356794,8.07832096641552,0.8812450349101156
LightGBM,1,21.02618197117404,10.880271937461023,12.657406074095789,1.4207145758972946
LightGBM,2,21.386096161824394,8.547019181126148,10.166455998245024,1.2383104943773238
LightGBM,3,15.514558807774256,6.0722729501915085,7.475066098712593,0.815850993603755
LightGBM,4,15.214552982130776,6.851098469816347,8.463255938897733,0.86209347491069
LightGBM,5,28.871552545048843,10.847214944754421,12.371502515766736,1.3714111934239372
Naive,0,18.085845586860234,10.962499999999999,13.12565958572218,1.3834376823096148
Naive,1,24.152366608257807,10.876388888888888,12.884575986713926,1.412471160614525
Naive,2,21.412522132328807,9.943055555555555,12.208661348008349,1.2633089000724216
Naive,3,23.175096065470004,10.591666666666667,12.447320052275204,1.3483968887084348
Naive,4,22.960612536147565,11.070833333333333,13.065649573566096,1.4033187381728058
Naive,5,31.758815989796318,12.4125,14.137823741809823,1.5534543681064832
Prophet,0,12.662122949836592,6.814595908547635,8.367841680169997,0.9027137857997082
Prophet,1,25.073086742184312,13.89352455869875,15.504539007876069,1.7626370503479756
Prophet,2,23.040247107175187,11.043989104729476,12.591096932213482,1.4283791431715842
Prophet,3,19.575747878235976,7.905415699814198,9.406922360488805,1.0634974968953608
Prophet,4,14.81838605411253,6.606067228031279,8.14571381007555,0.8376152978271502
Prophet,5,28.36602607274946,10.585488825090952,12.064216178239333,1.3366655648462655
SARIMA,0,12.085023083982696,6.357091059973182,7.854216253242689,0.8537120864118034
SARIMA,1,21.271895793066644,11.145898620018635,12.848500731916957,1.4383894043202268
SARIMA,2,14.862256414305541,6.511339905458047,8.079135775970002,0.8566037130664189
SARIMA,3,15.811771182196393,6.453550588463455,7.8490637054372385,0.8471911030708115
SARIMA,4,16.248954589530705,7.126769411463464,8.72808276280286,0.907479534527408
SARIMA,5,32.75052142378403,13.41658608615432,14.868577552136792,1.6433991772309724
SeasonalNaive,0,16.544965840816783,8.458333333333334,10.445899980148534,1.1512841009296308
SeasonalNaive,1,19.529743030618317,9.931944444444445,12.209834844331802,1.2939181231540096
SeasonalNaive,2,19.06025768067262,8.808333333333334,10.918394502353264,1.1388738993056275
SeasonalNaive,3,20.619378984254308,8.5,10.33125032432914,1.1257388961481412
SeasonalNaive,4,19.645134898958997,8.277777777777777,10.211194515310835,1.0729478194618445
SeasonalNaive,5,33.289949563515954,13.85138888888889,16.10922324811232,1.7107065666375894
