model,smape,mae,rmse,mase,n_obs,fit_time_s,smape_rank
SARIMA,18.838,8.502,10.038,1.091,4320,82.685,1
LightGBM,19.08,8.294,9.869,1.098,4320,3.099,2
ETS,19.892,9.023,10.553,1.155,4320,5.351,3
Prophet,20.589,9.475,11.013,1.222,4320,5.563,4
SeasonalNaive,21.448,9.638,11.704,1.249,4320,0.062,5
Naive,23.591,10.976,12.978,1.394,4320,0.077,6
